NAME,TEAM,POS,GP,MPG,FT,TWO_P,THREE_P,eFG,PPG,RPG,APG,SPG,BPG,TPG
Devin Booker,Pho,G,68,36,0.886,0.552,0.364,0.55,27.1,4.5,6.9,0.9,0.4,2.6
Kawhi Leonard,Lac,F,68,34.3,0.885,0.569,0.417,0.585,23.7,6.1,3.6,1.6,0.9,1.8
Devin Vassell,San,G,68,33.1,0.801,0.545,0.371,0.55,19.5,3.8,4.1,1.1,0.3,1.6
Kelly Oubre Jr.,Phi,F-G,68,30.2,0.75,0.517,0.311,0.498,15.4,5,1.5,1.1,0.7,1.3
John Collins,Uta,F,68,28,0.795,0.605,0.371,0.59,15.1,8.5,1.1,0.6,0.9,1.4
Caris LeVert,Cle,G,68,28.8,0.766,0.486,0.325,0.487,14,4.1,5.1,1.1,0.5,1.7
Rui Hachimura,Lal,F,68,26.8,0.739,0.598,0.422,0.61,13.6,4.3,1.2,0.6,0.4,0.7
Duncan Robinson,Mia,F,68,28,0.889,0.579,0.395,0.589,12.9,2.5,2.8,0.7,0.2,1.4
Ivica Zubac,Lac,C,68,26.4,0.723,0.649,0,0.649,11.7,9.2,1.4,0.3,1.2,1.2
Russell Westbrook,Lac,G,68,22.5,0.688,0.509,0.273,0.486,11.1,5,4.5,1.1,0.3,2.1
Eric Gordon,Pho,G,68,27.8,0.797,0.561,0.378,0.565,11,1.8,2,1,0.4,1.1
Andrew Nembhard,Ind,G-F,68,25,0.804,0.567,0.357,0.557,9.2,2.1,4.1,0.9,0.1,1.5
Duop Reath,Por,C,68,17.9,0.742,0.559,0.359,0.549,9.1,3.7,1,0.5,0.6,0.8
Dorian Finney-Smith,Bro,F,68,28.5,0.717,0.56,0.348,0.535,8.5,4.7,1.6,0.8,0.6,0.9
Miles McBride,Nyk,G,68,19.5,0.86,0.511,0.41,0.572,8.3,1.5,1.7,0.7,0.1,0.4
Trayce Jackson-Davis,Gol,F,68,16.6,0.561,0.704,0,0.702,7.9,5,1.2,0.4,1.1,0.7
Joe Ingles,Orl,F-G,68,17.2,0.824,0.439,0.435,0.59,4.4,2.1,3,0.6,0.1,1
Nick Richards,Cha,C,67,26.2,0.737,0.693,0,0.691,9.7,8,0.8,0.4,1.1,1.1
Jordan Hawkins,Nor,G,67,17.3,0.838,0.411,0.366,0.501,7.8,2.2,1,0.3,0.1,0.6
Max Christie,Lal,G,67,14.1,0.783,0.496,0.356,0.515,4.2,2.1,0.9,0.3,0.3,0.5
Jaren Jackson Jr.,Mem,F,66,32.2,0.808,0.502,0.32,0.495,22.5,5.5,2.3,1.2,1.6,2.4
Cam Thomas,Bro,G,66,31.4,0.856,0.481,0.364,0.503,22.5,3.2,2.9,0.7,0.2,1.9
CJ McCollum,Nor,G,66,32.7,0.827,0.492,0.429,0.572,20,4.3,4.6,0.9,0.6,1.7
Tyus Jones,Was,G,66,29.3,0.8,0.537,0.414,0.569,12,2.7,7.3,1.1,0.3,1
