NAME,TEAM,POS,GP,MPG,FT,TWO_P,THREE_P,eFG,PPG,RPG,APG,SPG,BPG,TPG
Malachi Flynn,Nyk,G,14,4.3,0.818,0.5,0.308,0.478,2.2,0.4,0.4,0.1,0,0.2
Keita Bates-Diop,Bro,F,14,4.8,1,0.636,0.2,0.531,1.6,0.6,0.3,0.2,0.1,0.1
Jermaine Samuels Jr.,Hou,F,14,4.3,1,0.75,0,0.643,1.4,0.9,0.2,0.1,0.1,0
Tosan Evbuomwan,Det,F,13,22.5,0.68,0.688,0.417,0.661,7,3.5,0.8,0.5,0.3,0.6
Patty Mills,Mia,G,13,16.4,1,0.593,0.208,0.406,5.8,1.2,1.5,0.8,0,0.6
Theo Maledon,Cha,G,13,15.4,0.917,0.389,0.167,0.326,4.2,1.8,2.2,0.5,0,1.2
Tre Mann,Okc,G,13,9.2,1,0.571,0.421,0.6,3.8,1.8,1.5,0.2,0,0.7
Mike Muscala,Det,F-C,13,13.2,0.5,0.2,0.382,0.489,3.5,2.2,0.8,0.2,0.4,0.2
Marcus Morris Sr.,Cle,F,12,15,0.625,0.467,0.414,0.542,5.8,2.1,0.8,0.2,0.2,0.9
Jeff Dowtin Jr.,Phi,G,12,11.8,0.75,0.647,0.474,0.681,4.3,1.7,2.3,0.6,0.1,0.4
Sidy Cissoko,San,G,12,11.7,0.8,0.714,0.083,0.5,3.8,1.8,0.8,0.6,0.3,0.3
Kira Lewis Jr.,Uta,G,12,9.9,0.778,0.593,0.154,0.475,3.8,1,1.6,0.3,0.1,0.5
Jalen Slawson,Sac,F,12,3.1,0,1,0,0.667,0.7,0.6,0.2,0.1,0.1,0.2
T.J. Warren,Min,F,11,11.3,0.75,0.571,0.154,0.463,3.7,2,0.8,0.4,0.1,0.4
Gabe Vincent,Lal,G,11,19.8,0.5,0.571,0.107,0.337,3.1,0.8,1.9,0.8,0,0.5
Moussa Diabate,Lac,F,11,5.8,0.643,0.526,0,0.526,2.6,2.3,0.4,0.5,0.1,0.2
Mouhamadou Gueye,Tor,F,11,10.9,0.444,0.314,0,0.289,2.4,2.1,0.5,0.3,1.6,1.1
TyTy Washington Jr.,Mil,G,11,5.1,0,0.286,0.333,0.35,1.3,0.5,0.5,0.3,0,0.2
Juan Toscano-Anderson,Sac,F,11,4.8,0,0.25,0.25,0.292,0.6,1.3,0.4,0.1,0.1,0.2
Tristan Vukcevic,Was,F,10,15.3,0.773,0.613,0.278,0.507,8.5,3.6,1.3,0.5,0.7,1
Armoni Brooks,Bro,G,10,10.4,0.5,0.286,0.344,0.446,4.2,1.8,0.5,0.1,0.1,0.2
Ryan Rollins,Was,G,10,6.6,0.765,0.5,0.667,0.56,4.1,1.1,1.1,0.8,0.3,0.7
Buddy Boeheim,Det,F,10,8.4,0.8,0.25,0.32,0.448,3.4,1,0.3,0,0.1,0
Isaiah Mobley,Cle,F,10,7.2,0,0.5,0.3,0.479,2.3,1,0.6,0.2,0,0.2
Amari Bailey,Cha,G,10,6.5,0.857,0.438,0.125,0.354,2.3,0.9,0.7,0.3,0,0.4
Thaddeus Young,Pho,F,10,8.9,0.333,0.55,0,0.524,2.3,2.8,0.7,0.5,0.2,0.4
Bismack Biyombo,Okc,C,10,7.3,0.5,0.583,0,0.583,1.8,1.8,0.2,0.1,0.3,0.4
Aleksej Pokusevski,Okc,F,10,6.1,0.5,0.4,0.182,0.313,1.2,1,0.5,0.1,0.1,0.3
Ja Morant,Mem,G,9,35.3,0.813,0.555,0.275,0.512,25.1,5.6,8.1,0.8,0.6,3
Javonte Green,Chi,G,9,25.6,0.769,0.729,0.37,0.667,12.2,7.4,0.6,1.1,0.9,0.8
Jaylen Nowell,Mem,G,9,17.4,1,0.563,0.174,0.436,5.7,1.6,1.8,0.3,0,0.6
DeJon Jarreau,Mem,G,9,16.6,0.455,0.351,0.308,0.38,4.8,4.9,2.9,0.7,0.2,1
Dru Smith,Mia,G,9,14.5,1,0.5,0.412,0.561,4.3,1.6,1.6,1,0.3,0.6
Marques Bolden,Cha,C,9,13.1,0.75,0.708,0,0.68,4.1,3.6,0.4,0.3,0.8,0.3
Adama Sanogo,Chi,F,9,7.3,0.667,0.519,0,0.519,4,4,0,0.1,0,0.6
Jordan Walsh,Bos,G,9,9.3,0.5,0.667,0.222,0.467,1.7,2.2,0.6,0.6,0.1,0.3
Seth Lundy,Atl,G,9,5.8,0.75,0.25,0.231,0.324,1.6,0.8,0,0,0,0.1
Jacob Toppin,Nyk,F,9,4.2,1,0.8,0.25,0.611,1.4,0.8,0.3,0,0.1,0.1
Keyontae Johnson,Okc,F,9,7.4,0,0.308,0.333,0.344,1.2,1.1,0.4,0.1,0,0.4
James Johnson,Ind,F,9,5.2,1,0.375,0,0.3,0.9,0.4,0.9,0.6,0.1,0.6
Seth Curry,Cha,G,8,19.8,0.917,0.548,0.321,0.517,9,2,1.8,0.6,0.4,0.6
Matt Hurt,Mem,F,8,14.2,1,0.5,0.25,0.426,4,2,0.5,0.4,0.4,0.3
Oscar Tshiebwe,Ind,F-C,8,5.2,0.75,0.5,0,0.5,3.3,2,0.3,0.3,0.1,0
JD Davison,Bos,G,8,4.9,0.75,0.4,0.429,0.542,2,1.3,1.3,0.1,0.1,0.3
Jordan Miller,Lac,G,8,3.5,1,0.571,0.5,0.611,1.6,0.6,0,0,0,0.1
Dylan Windler,Lal,G-F,8,3.5,0,0,0.5,0.667,1.5,0.4,0.8,0,0,0
R.J. Hampton,Mia,G,8,9.5,0.5,0.5,0.125,0.321,1.3,0.8,1,0,0,0.4
Charlie Brown Jr.,Nyk,G,8,4.7,0,0,0.286,0.3,0.8,0.3,0,0,0.3,0.3
E.J. Liddell,Nor,F,8,2.9,1,1,0,0.167,0.5,0.6,0.1,0.3,0.3,0.3
Pete Nance,Cle,F,8,3.4,0,0,1,0.25,0.4,0.4,0,0.1,0,0.1
Maozinha Pereira,Mem,F,7,17.4,0.7,0.591,0.385,0.586,6.9,5.3,0.3,0.9,0.6,0.7
Jahmi'us Ramsey,Tor,G,7,17.3,0.833,0.632,0.273,0.512,6.7,3.1,1.1,1,0,1
Zavier Simpson,Mem,G,7,23.1,0.75,0.324,0.294,0.361,6,2.9,3.6,1,0.4,1.4
Ish Wainright,Por,F,7,6.6,1,0,0.375,0.5,2.9,1.3,0,0.3,0.1,0.1
Malik Williams,Tor,C,7,15.2,0,0.276,0.2,0.279,2.7,5.4,0.3,0.4,0.6,0.4
D'Moi Hodge,Lal,G,7,5.9,0.5,0.667,0.25,0.433,2,0,0.7,0.1,0.1,0.1
Jason Preston,Uta,G,7,10.2,0,0.375,0,0.316,1.7,2.4,2.3,0.3,0.1,0.3
Alondes Williams,Mia,G,7,2.2,1,0.5,0,0.25,0.7,0.1,0,0,0.1,0.3
Harry Giles III,Lal,F-C,7,2.7,0,0.333,0,0.167,0.3,0.6,0,0.1,0,0
Brandon Clarke,Mem,F,6,22.4,0.143,0.604,0.167,0.568,11.3,5.3,1.5,0.8,1,0.5
Danilo Gallinari,Det,F,6,14.9,0.875,0.5,0.583,0.705,8.7,2.3,2,0.3,0.3,0.2
Darius Bazley,Uta,F,6,23.7,0.833,0.762,0.25,0.655,8,4.5,0.8,1,1.2,1.2
Robert Williams III,Por,C-F,6,19.8,0.778,0.654,0,0.654,6.8,6.3,0.8,1.2,1.2,1.2
Quentin Grimes,Det,G,6,19.2,0.909,0.357,0.143,0.262,5.3,2,2.3,0.8,0.7,1.2
Dylan Windler,Atl,G-F,6,12.2,0,1,0.471,0.737,4.7,2,0.5,0.3,0,0.3
Monte Morris,Det,G,6,11.4,0.5,0.455,0.182,0.394,4.5,2,1.3,0.2,0.2,0.3
Mouhamed Gueye,Atl,F,6,12.1,0.833,0.357,0.333,0.413,4,3.7,0.7,0.8,0.7,0.2
Greg Brown III,Dal,F,6,6.6,0.444,0.5,0.333,0.5,2.5,1.5,0.7,0,0.7,0.7
Dereon Seabron,Nor,G,6,9.2,0.833,0.273,0.5,0.346,2.3,1.2,0.8,0.3,0.2,0
Jordan Ford,Sac,G,6,3.6,1,0.5,0.667,0.714,2,0.3,0.3,0,0,0.2
Shake Milton,Nyk,G-F,6,4.6,1,0.429,0.5,0.5,1.8,1,0.7,0.2,0,0
Jamaree Bouyea,Por,G,6,9.5,0,0.385,0,0.238,1.7,1.7,1.3,0,0,1.3
Isaiah Thomas,Pho,G,6,3.2,0,0.167,0.5,0.4,1.3,0,0.5,0,0,0
Pat Spencer,Gol,G,6,4.3,0,1,0,0.5,0.7,0.7,0.8,0,0,0.2
Usman Garuba,Gol,F,6,3,0.5,0.2,0,0.167,0.5,1.2,0.2,0.2,0.5,0.3
Keon Johnson,Bro,G,5,12.3,0.917,0.364,0.4,0.476,6.2,1.4,0.6,0.6,0.2,1
Wenyen Gabriel,Mem,F,5,16.2,0,0.438,0.167,0.386,3.4,5,0.6,0.4,0.4,1.6
Yuta Watanabe,Mem,G-F,5,16.4,0,0.556,0.1,0.342,2.6,1.8,1,0.6,0,0.6
Timmy Allen,Mem,F,5,25.1,0.5,0.375,0,0.261,2.6,3.4,1,0.8,0,0.4
Mason Jones,Sac,G,5,5.5,0.5,0,0.286,0.375,1.4,1,1,0.2,0,0.4
Frank Ntilikina,Cha,G,5,8.6,1,0,0.125,0.167,1,1.2,0.8,0,0,0.2
Andrew Funk,Chi,G,5,2.7,0,0,0,0,0,0,0,0.2,0.2,0
Kenneth Lofton Jr.,Uta,F,4,22.7,0.818,0.739,0.333,0.657,13.8,5,4.8,0.8,0.5,1.5
Jaylen Nowell,Det,G,4,14.4,0.667,0.588,0.333,0.565,7.5,2.5,0.8,0.3,0.5,0.5
Shake Milton,Det,G-F,4,15.8,0.667,0.471,0.333,0.481,6.8,4.5,1.5,0.5,0.3,0.8
David Duke Jr.,San,G,4,12.9,1,0.583,0.5,0.639,6.5,2.5,1.3,0.5,0,0.8
Dexter Dennis,Dal,G,4,7.5,0.333,0.818,0.125,0.553,5.5,2.3,1,0,0.3,0.8
Kobi Simmons,Tor,G,4,16.9,0,0.538,0.25,0.476,5,1.8,3,1.5,0.5,0.3
Taze Moore,Por,G,4,10.1,0.5,0.583,0.143,0.447,4.5,2,1.3,0.5,0,0.8
Taj Gibson,Det,F,4,9.8,0,0.6,0.5,0.643,4.5,2.3,0.5,0.3,0.3,0
D.J. Carton,Tor,G,4,8.9,0.8,0.5,0.25,0.438,2.8,1,0.8,0.3,0,0.3
Henri Drell,Chi,F,4,7.5,0.5,0.5,0.333,0.5,2.8,1,1,0.5,0.3,0.5
Tosan Evbuomwan,Mem,F,4,18.5,0,0.286,0.25,0.333,2.5,3.5,1.5,0,0.3,0.3
Jack White,Mem,F,4,15.9,0,0,0.2,0.188,1.5,3,0.3,1,0.3,0.5
Theo Maledon,Pho,G,4,3.3,1,0.25,0,0.25,1.3,0.3,0,0,0,0.8
Alex Fudge,Lal,F,4,3.6,1,0.25,0,0.167,1,0.5,0,0,0,0.3
Ish Wainright,Pho,F,4,4.1,0,0,0.25,0.25,0.8,1.3,0.3,0.5,0,0.3
Jacob Gilyard,Bro,G,4,11.2,0,0,0,0,0,0.8,1.5,1.5,0,0.3
RaiQuan Gray,San,F,3,13,0,0.7,0.429,0.676,7.7,2.3,2,0.3,0.3,0.3
Evan Fournier,Nyk,G-F,3,12.9,1,0.4,0.133,0.25,4,1.3,1,1.3,0,0.3
Mamadi Diakite,San,F,3,5.3,0.667,0.8,0,0.8,4,1,0.7,0,0.3,0
Drew Peterson,Bos,F,3,7.6,0,1,0.6,0.917,3.7,0.3,0.3,0.7,0,0.3
Jamaree Bouyea,San,G,3,12.6,0,0.667,1,0.786,3.7,3,1,0.3,0,0.3
Robert Covington,Lac,F,3,23.1,0.5,1,0.25,0.444,3,2.7,2.3,2,0.7,0
Nicolas Batum,Lac,G-F,3,18,0,1,0.286,0.5,2.7,2.3,1.7,1,1.3,0.3
P.J. Tucker,Phi,F,3,22.1,0,0,0.4,0.6,2,4.7,0,1,0.7,0.7
Lindell Wigginton,Mil,G,3,2.5,1,0.667,0,0.4,2,0,0,0,0,0.3
Dylan Windler,Nyk,G-F,3,2.5,0,0,0.5,0.75,1,0.3,0.3,0,0,0
Ryan Rollins,Mil,G,3,4,0,0,1,0.75,1,0.7,1,0.7,0,0.3
Shaquille Harrison,Mem,G,3,2,0,0.5,0,0.5,0.7,0.7,0,0,0.3,0
Quenton Jackson,Ind,G,3,3.5,1,0,0,0,0.7,1.3,0.7,0.3,0,0
Darius Bazley,Phi,F,3,3.3,0,0,0,0,0,0.3,0.7,0,0,0.3
Mamadi Diakite,Nyk,F,3,2.8,0,0,0,0,0,0.3,0,0.3,0,0.3
Alex Fudge,Dal,F,2,12.9,0,0.667,0.333,0.611,5.5,1.5,0,1.5,0,0.5
Kenyon Martin Jr.,Lac,F,2,15.7,0.5,0.6,0.2,0.45,5,1.5,0.5,1,0.5,1
D.J. Wilson,Phi,F,2,7.8,0,0.5,1,0.833,5,1,1,0,1,0
Ty Jerome,Cle,G-F,2,7.4,0,0.667,0,0.5,2,0.5,1.5,0,0,0.5
Kevon Harris,Orl,G,2,3.1,0,0.667,0,0.667,2,1,0.5,0,0,0.5
Filip Petrusev,Sac,C,2,3.3,0.5,0.5,0,0.5,1.5,0,0,0,0,0
Dariq Whitehead,Bro,F,2,12,0.5,0.5,0,0.2,1.5,2,1.5,0,0.5,0
Adam Flagler,Okc,G,2,7,0,0,0.167,0.214,1.5,0,2,0,0,0
Joshua Primo,Lac,G,2,5.2,0,0.5,0,0.333,1,0.5,0,0,0.5,2
Kenneth Lofton Jr.,Phi,F,2,4.4,0,0.25,0,0.167,1,1.5,0,0,0,1
Hamidou Diallo,Was,G,2,2.4,0,0.5,0,0.5,1,1,0.5,1,0,0.5
Danny Green,Phi,G,2,9.3,0,0,0,0,0,1,0.5,0.5,0,0
Marques Bolden,Mil,C,2,1.5,0,0,0,0,0,1,0,0,0,0
Dmytro Skapintsev,Nyk,C,2,1.1,0,0,0,0,0,0,0,0,0,0
Trey Jemison,Was,C,2,0.8,0,0,0,0,0,0.5,0,0,0,0.5
Justin Jackson,Min,F,2,0.4,0,0,0,0,0,0,0,0,0,0
Izaiah Brockington,Nor,G,1,3.4,0,0.5,0,0.4,4,2,0,0,0,0
Daniel Theis,Ind,F-C,1,8.4,0,0.333,0,0.25,2,0,0,0,0,0
Isaiah Wong,Ind,G,1,4.3,0,0.5,0,0.333,2,0,0,0,0,0
Markquis Nowell,Tor,G,1,3.5,1,0,0,0,2,2,2,1,0,0
Kaiser Gates,Nor,F,1,7.4,0,0,0,0,0,1,0,0,0,0
Filip Petrusev,Phi,C,1,2.7,0,0,0,0,0,1,0,0,0,0
Javonte Smart,Phi,G,1,0.7,0,0,0,0,0,0,0,0,0,0
Malcolm Cazalon,Det,G,1,2.6,0,0,0,0,0,0,0,0,0,0
Ron Harper Jr.,Tor,F,1,3.7,0,0,0,0,0,0,1,0,0,0
Kira Lewis Jr.,Tor,G,1,1.6,0,0,0,0,0,0,0,0,0,0
Jalen Crutcher,Nor,G,1,2.7,0,0,0,0,0,0,0,0,0,0
